"Código","Departamento","Poblacion","Viviendas","Hogares","Año"
"06028","Almirante Brown",552963,156204,157064,2010
"06035","Avellaneda",342311,121292,112973,2010
"06091","Berazategui",324008,96025,92936,2010
"06260","Esteban Echeverría",301118,88153,86062,2010
"06270","Ezeiza",163850,49204,44510,2010
"06274","Florencio Varela",426179,113989,113164,2010
"06371","General San Martín",414893,138011,133627,2010
"06408","Hurlingham",181072,55440,54979,2010
"06410","Ituzaingó",167802,54363,51387,2010
"06412","José C. Paz",266263,72231,71876,2010
"06427","La Matanza",1776156,447306,485096,2010
"06434","Lanús",458499,157867,149106,2010
"06490","Lomas de Zamora",616245,188186,188819,2010
"06515","Malvinas Argentinas",323337,87283,89743,2010
"06539","Merlo",527344,147221,147186,2010
"06560","Moreno",452621,129560,124124,2010
"06568","Morón",322193,117303,107017,2010
"06658","Quilmes",583232,182216,177105,2010
"06749","San Fernando",163232,51910,49422,2010
"06756","San Isidro",293658,107600,97626,2010
"06760","San Miguel",276102,82879,80610,2010
"06805","Tigre",376371,118416,108574,2010
"06840","Tres de Febrero",340634,119907,112935,2010
"06861","Vicente López",269435,114728,99091,2010
"06007","Adolfo Alsina",17072,7932,6237,2010
"06014","Adolfo Gonzáles Chaves",12047,5211,4199,2010
"06021","Alberti",10654,4939,3828,2010
"06042","Ayacucho",20337,8408,6967,2010
"06049","Azul",65371,25703,22112,2010
"06056","Bahía Blanca",301460,124721,105246,2010
"06063","Balcarce",43823,17444,14720,2010
"06070","Baradero",32761,12301,10416,2010
"06077","Arrecifes",29044,10870,9546,2010
"06084","Benito Juárez",20239,8437,6786,2010
"06098","Berisso",88499,29507,27452,2010
"06105","Bolívar",34128,15141,12002,2010
"06112","Bragado",41336,16519,14291,2010
"06119","Brandsen",26367,10550,8324,2010
"06126","Campana",94528,31867,28161,2010
"06134","Cañuelas",51892,18269,15312,2010
"06140","Capitán Sarmiento",14494,5227,4672,2010
"06147","Carlos Casares",22237,9446,7775,2010
"06154","Carlos Tejedor",11570,5011,3976,2010
"06161","Carmen de Areco",14692,5571,4631,2010
"06168","Castelli",8205,3371,2721,2010
"06175","Colón",24890,9254,8191,2010
"06182","Coronel de Marina L. Rosales",62088,23385,19377,2010
"06189","Coronel Dorrego",15825,7691,5689,2010
"06196","Coronel Pringles",22933,10026,8097,2010
"06203","Coronel Suárez",38320,16878,13451,2010
"06210","Chacabuco",48703,18929,16496,2010
"06217","Chascomús",42277,17593,13903,2010
"06224","Chivilcoy",64071,27055,22014,2010
"06231","Daireaux",16889,6571,5479,2010
"06238","Dolores",27042,10553,9004,2010
"06245","Ensenada",56700,19343,17411,2010
"06252","Escobar",213681,65378,60026,2010
"06266","Exaltación de la Cruz",29805,12685,9101,2010
"06277","Florentino Ameghino",8869,3895,2986,2010
"06280","General Alvarado",39594,25095,12732,2010
"06287","General Alvear",11130,4099,3308,2010
"06294","General Arenales",14903,6819,5327,2010
"06301","General Belgrano",17365,7962,6008,2010
"06308","General Guido",2816,1495,1005,2010
"06315","General Juan Madariaga",19747,7636,6332,2010
"06322","General La Madrid",10783,4982,3777,2010
